,Labels,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",Year
0,SEX AND AGE,,,,,,,,,,,2012
1,Total population,"73,195","132,088","136,011","3,942,169","203,334","107,094","992,394","387,365","212,637","200,022",2012
2,Male,"36,337","67,821","67,187","1,950,229","102,141","54,016","488,848","203,470","104,052","101,245",2012
3,Female,"36,858","64,267","68,824","1,991,940","101,193","53,078","503,546","183,895","108,585","98,777",2012
4,Under 5 years,"6,019","7,866","8,355","274,159","10,145","8,261","60,751","26,312","9,600","15,002",2012
5,5 to 9 years,"6,120","7,697","7,815","284,204","10,880","8,053","64,824","29,101","9,569","14,713",2012
6,10 to 14 years,"6,354","8,697","9,353","286,315","11,512","9,478","59,242","28,221","11,864","15,418",2012
7,15 to 19 years,"6,790","10,312","13,152","271,195","10,110","7,775","66,851","24,505","11,277","15,813",2012
8,20 to 24 years,"5,113","8,157","18,514","285,305","10,456","7,876","77,628","20,791","11,287","17,280",2012
9,25 to 34 years,"7,932","17,488","17,525","557,141","19,434","11,367","130,009","53,606","18,690","25,244",2012
10,35 to 44 years,"8,387","13,466","15,918","532,404","21,463","11,240","115,758","52,664","19,327","22,341",2012
11,45 to 54 years,"9,179","17,006","16,357","513,078","26,197","13,980","126,465","45,057","27,327","22,483",2012
12,55 to 59 years,"4,396","8,105","9,108","224,583","15,704","7,852","63,055","22,303","17,424","9,995",2012
13,60 to 64 years,"3,769","8,572","6,866","201,984","16,801","5,820","63,571","23,899","20,686","9,002",2012
14,65 to 74 years,"5,902","14,926","8,175","290,209","30,493","9,449","91,364","39,180","32,185","17,957",2012
15,75 to 84 years,"2,550","6,879","3,751","160,013","14,197","4,355","50,752","16,804","15,499","12,537",2012
16,85 years and over,684,"2,917","1,122","61,579","5,942","1,588","22,124","4,922","7,902","2,237",2012
17,Median age (years),32.3,40.1,31.0,35.3,48.7,35.7,38.0,37.4,51.0,33.6,2012
18,18 years and over,"50,639","102,578","105,483","2,930,390","163,770","76,305","769,992","288,933","174,565","145,601",2012
19,21 years and over,"46,530","94,947","93,203","2,766,250","159,435","72,003","725,772","275,547","168,459","135,264",2012
20,62 years and over,"10,842","29,676","17,109","631,924","61,102","18,719","200,350","75,930","66,988","38,541",2012
21,65 years and over,"9,136","24,722","13,048","511,801","50,632","15,392","164,240","60,906","55,586","32,731",2012
