,Labels,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",Year
0,SEX AND AGE,,,,,,,,,,,2013
1,Total population,"71,934","129,473","136,539","4,009,412","203,030","107,322","996,554","389,350","215,133","201,201",2013
2,Male,"35,352","65,945","68,011","1,983,791","103,169","53,534","491,516","202,854","105,433","103,447",2013
3,Female,"36,582","63,528","68,528","2,025,621","99,861","53,788","505,038","186,496","109,700","97,754",2013
4,Under 5 years,"5,112","7,510","8,206","271,693","9,814","7,890","59,297","25,270","9,083","15,525",2013
5,5 to 9 years,"6,252","7,354","9,177","294,927","9,966","8,770","60,993","27,920","10,165","14,715",2013
6,10 to 14 years,"6,444","8,285","7,226","281,253","12,041","8,404","62,447","29,587","11,649","14,728",2013
7,15 to 19 years,"5,813","10,335","14,448","273,335","10,803","7,882","69,203","24,744","11,451","15,271",2013
8,20 to 24 years,"5,626","7,170","16,847","285,584","10,380","7,382","88,958","21,849","10,395","17,395",2013
9,25 to 34 years,"8,748","16,782","19,118","567,894","18,611","12,323","122,233","51,588","19,429","26,198",2013
10,35 to 44 years,"7,881","13,807","15,120","537,767","19,777","11,519","114,966","52,880","19,634","21,574",2013
11,45 to 54 years,"8,489","16,326","15,780","519,876","27,105","13,154","121,659","43,856","26,244","22,681",2013
12,55 to 59 years,"4,776","8,439","8,331","225,669","16,390","6,660","66,124","22,700","20,428","10,330",2013
13,60 to 64 years,"3,767","8,552","7,712","213,274","15,290","6,724","59,633","22,747","18,580","9,076",2013
14,65 to 74 years,"4,742","14,413","9,149","309,154","31,848","10,235","95,593","42,608","34,111","18,112",2013
15,75 to 84 years,"2,762","7,894","4,249","158,854","16,716","5,026","56,161","18,745","17,153","12,376",2013
16,85 years and over,"1,522","2,606","1,176","70,132","4,289","1,353","19,287","4,856","6,811","3,220",2013
17,Median age (years),33.3,40.3,31.2,35.6,49.2,35.5,38.0,37.5,51.1,33.5,2013
18,18 years and over,"50,649","100,167","106,890","2,993,112","164,343","77,139","776,882","291,117","177,001","147,535",2013
19,21 years and over,"47,015","94,398","94,816","2,830,675","158,643","72,806","724,824","276,114","171,066","137,112",2013
20,62 years and over,"11,214","30,095","18,981","664,439","62,020","20,723","207,501","79,972","68,883","39,043",2013
21,65 years and over,"9,026","24,913","14,574","538,140","52,853","16,614","171,041","66,209","58,075","33,708",2013
22,18 years and over,"50,649","100,167","106,890","2,993,112","164,343","77,139","776,882","291,117","177,001","147,535",2013
23,Male,"24,906","52,337","52,628","1,465,339","82,536","38,215","378,944","152,859","85,419","75,860",2013
24,Female,"25,743","47,830","54,262","1,527,773","81,807","38,924","397,938","138,258","91,582","71,675",2013
25,65 years and over,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",2013
26,Male,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,2013
27,Female,"9,026","24,913","14,574","538,140","52,853","16,614","171,041","66,209","58,075","33,708",2013
28,RACE,"4,084","12,017","7,082","241,510","26,146","7,849","77,097","32,556","27,774","16,237",2013
29,Total population,"4,942","12,896","7,492","296,630","26,707","8,765","93,944","33,653","30,301","17,471",2013
30,One race,,,,,,,,,,,2013
31,Two or more races,"71,934","129,473","136,539","4,009,412","203,030","107,322","996,554","389,350","215,133","201,201",2013
32,One race,"70,077","123,867","130,939","3,881,950","198,013","103,234","957,306","377,879","210,647","196,420",2013
33,White,"1,857","5,606","5,600","127,462","5,017","4,088","39,248","11,471","4,486","4,781",2013
34,Black or African American,"70,077","123,867","130,939","3,881,950","198,013","103,234","957,306","377,879","210,647","196,420",2013
