,Labels,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",Year
0,SEX AND AGE,,,,,,,,,,,2014
1,Total population,"71,828","127,448","137,682","4,087,191","203,361","108,101","1,004,516","401,918","218,844","203,247",2014
2,Male,"35,228","64,493","67,191","2,019,956","101,328","53,961","494,124","211,515","106,764","104,020",2014
3,Female,"36,600","62,955","70,491","2,067,235","102,033","54,140","510,392","190,403","112,080","99,227",2014
4,Under 5 years,"5,713","8,594","8,233","272,518","9,443","7,994","59,503","24,622","9,568","15,398",2014
5,5 to 9 years,"5,582","7,483","8,121","291,492","10,288","9,079","59,643","27,979","9,948","14,510",2014
6,10 to 14 years,"5,645","7,907","8,571","288,694","11,476","8,503","63,525","29,096","11,423","14,844",2014
7,15 to 19 years,"6,789","7,746","14,095","278,570","11,157","8,278","68,498","25,116","11,849","14,594",2014
8,20 to 24 years,"4,736","7,909","18,064","286,925","10,091","6,629","91,988","21,996","10,734","17,126",2014
9,25 to 34 years,"7,873","16,826","18,650","579,981","18,519","13,225","122,536","53,408","19,058","27,871",2014
10,35 to 44 years,"8,518","13,196","14,975","543,218","19,749","10,958","114,817","55,274","19,643","21,867",2014
11,45 to 54 years,"8,927","15,189","15,144","527,566","25,459","12,759","119,379","45,035","25,914","22,031",2014
12,55 to 59 years,"4,455","7,616","8,185","240,516","16,701","7,625","64,590","22,321","17,698","10,336",2014
13,60 to 64 years,"4,160","9,822","8,124","211,728","15,439","5,922","61,992","25,175","21,301","8,733",2014
14,65 to 74 years,"5,743","14,339","9,969","327,542","32,146","10,824","100,484","45,980","36,737","18,566",2014
15,75 to 84 years,"2,500","7,670","4,378","168,746","18,267","4,966","57,313","20,419","17,558","14,926",2014
16,85 years and over,"1,187","3,151","1,173","69,695","4,626","1,339","20,248","5,497","7,413","2,445",2014
17,Median age (years),34.3,40.1,30.9,35.7,49.7,35.2,38.0,38.4,52.0,34.0,2014
18,18 years and over,"50,921","99,047","107,652","3,063,198","165,353","77,683","784,677","303,709","180,787","150,067",2014
19,21 years and over,"47,149","94,341","93,688","2,893,529","158,445","72,647","732,951","289,295","173,856","140,973",2014
20,62 years and over,"11,960","31,123","19,839","692,461","65,051","20,599","213,918","86,156","74,431","41,125",2014
