,Labels,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",Year
0,SEX AND AGE,,,,,,,,,,,2015
1,Total population,"71,474","126,427","139,097","4,167,947","204,737","108,277","1,010,025","406,584","222,255","204,275",2015
2,Male,"35,099","62,976","67,799","2,059,938","102,701","54,361","495,866","211,383","108,627","104,987",2015
3,Female,"36,375","63,451","71,298","2,108,009","102,036","53,916","514,159","195,201","113,628","99,288",2015
4,Under 5 years,"6,130","7,527","7,938","272,590","9,259","7,873","59,416","23,811","9,415","14,812",2015
5,5 to 9 years,"5,589","7,882","8,838","288,113","10,356","9,094","62,811","28,193","9,902","14,253",2015
6,10 to 14 years,"5,944","6,893","7,153","295,063","10,763","7,718","59,110","29,280","11,762","14,515",2015
7,15 to 19 years,"5,080","7,542","16,909","284,710","10,981","8,397","69,464","24,963","11,647","14,406",2015
8,20 to 24 years,"5,164","7,290","17,832","284,969","9,638","6,706","90,533","21,682","10,029","17,723",2015
9,25 to 34 years,"8,863","16,220","18,110","594,791","20,344","12,339","123,578","53,156","20,241","27,638",2015
10,35 to 44 years,"7,999","13,667","14,542","548,668","19,565","12,431","114,091","53,918","19,115","22,104",2015
11,45 to 54 years,"8,615","14,623","15,552","537,317","24,432","12,088","117,555","46,472","26,908","21,745",2015
12,55 to 59 years,"4,419","8,323","9,051","247,837","16,143","7,096","62,755","21,830","17,806","9,952",2015
13,60 to 64 years,"3,869","9,410","7,093","220,865","16,940","6,890","64,902","25,293","21,156","10,115",2015
14,65 to 74 years,"6,049","15,686","10,546","345,123","32,752","10,622","105,372","48,578","37,964","19,632",2015
15,75 to 84 years,"2,867","9,449","4,152","175,320","18,420","5,129","54,917","22,116","19,147","12,885",2015
16,85 years and over,886,"1,915","1,381","72,581","5,144","1,894","25,521","7,292","7,163","4,495",2015
17,Median age (years),33.8,42.1,30.6,36.1,50.1,36.2,38.4,38.5,52.3,34.5,2015
18,18 years and over,"50,815","99,329","109,930","3,137,279","167,202","78,572","791,247","309,658","184,366","151,665",2015
19,21 years and over,"47,331","94,922","93,896","2,966,465","160,897","73,896","741,236","296,226","177,286","142,651",2015
20,62 years and over,"12,205","32,251","19,987","725,642","66,328","21,782","224,868","93,037","77,516","42,675",2015
21,65 years and over,"9,802","27,050","16,079","593,024","56,316","17,645","185,810","77,986","64,274","37,012",2015
22,18 years and over,"50,815","99,329","109,930","3,137,279","167,202","78,572","791,247","309,658","184,366","151,665",2015
23,Male,"24,691","49,798","52,794","1,533,637","83,960","38,941","384,619","162,596","89,416","77,957",2015
24,Female,"26,124","49,531","57,136","1,603,642","83,242","39,631","406,628","147,062","94,950","73,708",2015
25,65 years and over,"9,802","27,050","16,079","593,024","56,316","17,645","185,810","77,986","64,274","37,012",2015
26,Male,"4,473","12,379","7,611","266,930","27,799","8,388","84,088","37,807","30,958","17,610",2015
27,Female,"5,329","14,671","8,468","326,094","28,517","9,257","101,722","40,179","33,316","19,402",2015
28,RACE,,,,,,,,,,,2015
29,Total population,"71,474","126,427","139,097","4,167,947","204,737","108,277","1,010,025","406,584","222,255","204,275",2015
30,One race,N,"121,080","134,865","4,033,911","200,534","105,592","971,555","389,924","215,441","199,915",2015
31,Two or more races,N,"5,347","4,232","134,036","4,203","2,685","38,470","16,660","6,814","4,360",2015
32,One race,N,"121,080","134,865","4,033,911","200,534","105,592","971,555","389,924","215,441","199,915",2015
33,White,N,"106,336","88,124","3,257,173","184,801","51,800","776,470","314,363","204,325","153,529",2015
34,Black or African American,N,"5,812","1,772","228,439","2,453","1,107","36,666","17,831","1,082","4,512",2015
35,American Indian and Alaska Native,N,"1,130","37,506","80,471","5,760","47,730","37,188","21,601","3,586","3,259",2015
36,Cherokee tribal grouping,0,0,0,0,0,0,0,0,0,0,2015
37,Chippewa tribal grouping,0,0,0,0,0,0,0,0,0,0,2015
38,Navajo tribal grouping,0,0,0,0,0,0,0,0,0,0,2015
39,Sioux tribal grouping,0,0,0,0,0,0,0,0,0,0,2015
40,Asian,N,"2,729","2,582","166,727","2,743",674,"29,545","6,433","2,243","2,723",2015
41,Asian Indian,N,N,83,"45,729",N,N,"4,664",476,287,N,2015
42,Chinese,N,N,974,"31,822",N,N,"8,391",731,804,N,2015
43,Filipino,N,N,290,"25,796",N,N,"3,137","1,955",408,N,2015
44,Japanese,N,N,531,"7,577",N,N,"1,795",265,129,N,2015
45,Korean,N,N,80,"11,626",N,N,"3,176",659,198,N,2015
