,Labels,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",Year
0,SEX AND AGE,,,,,,,,,,,2018
1,Total population,"71,818","126,770","142,854","4,410,824","209,550","110,445","1,039,073","447,138","231,993","212,128",2018
2,Male,"35,613","64,995","70,521","2,181,974","105,596","55,015","510,267","233,292","113,011","109,526",2018
3,Female,"36,205","61,775","72,333","2,228,850","103,954","55,430","528,806","213,846","118,982","102,602",2018
4,Sex ratio (males per 100 females),98.4,105.2,97.5,97.9,101.6,99.3,96.5,109.1,95.0,106.7,2018
5,Under 5 years,"4,721","7,103","7,273","279,484","9,064","7,751","58,312","25,176","9,673","15,116",2018
6,5 to 9 years,"5,744","8,163","7,520","284,468","10,687","7,559","55,091","27,911","9,525","14,200",2018
7,10 to 14 years,"5,856","7,463","9,774","309,797","9,840","9,324","66,033","31,371","11,405","15,581",2018
8,15 to 19 years,"5,688","7,994","17,020","296,015","9,146","7,903","69,390","26,887","11,756","14,792",2018
9,20 to 24 years,"4,708","7,479","16,884","291,402","10,046","5,837","89,756","26,780","11,059","17,326",2018
10,25 to 34 years,"8,817","14,753","20,021","643,582","21,588","13,390","133,420","56,108","19,917","28,913",2018
11,35 to 44 years,"8,327","14,643","15,121","574,263","18,649","11,646","118,453","59,352","19,148","22,932",2018
12,45 to 54 years,"7,714","13,844","15,058","552,562","22,854","12,240","113,730","49,111","25,571","22,770",2018
13,55 to 59 years,"4,973","6,656","8,485","261,058","15,108","7,195","63,443","25,808","18,798","9,228",2018
14,60 to 64 years,"4,338","10,270","7,885","248,994","18,774","7,438","65,898","27,809","21,485","11,291",2018
15,65 to 74 years,"6,466","16,130","11,161","388,129","37,132","12,126","117,273","55,006","43,831","19,698",2018
16,75 to 84 years,"3,163","9,098","5,212","203,927","21,019","5,852","66,965","29,655","22,454","17,127",2018
17,85 years and over,"1,303","3,174","1,440","77,143","5,643","2,184","21,309","6,164","7,371","3,154",2018
18,Median age (years),35.4,41.0,30.8,36.6,52.5,38.5,39.0,39.8,54.4,35.1,2018
19,Under 18 years,"19,517","27,247","29,455","1,052,785","35,609","29,343","216,294","101,143","37,293","53,632",2018
20,16 years and over,"54,577","102,489","116,671","3,478,309","177,746","83,803","847,376","356,563","198,754","164,347",2018
21,18 years and over,"52,301","99,523","113,399","3,358,039","173,941","81,102","822,779","345,995","194,700","158,496",2018
22,21 years and over,"48,916","93,010","97,108","3,183,456","169,270","76,702","773,418","329,577","185,876","149,309",2018
23,62 years and over,"13,466","34,210","22,956","815,127","76,377","23,563","243,731","107,624","87,115","45,823",2018
24,65 years and over,"10,932","28,402","17,813","669,199","63,794","20,162","205,547","90,825","73,656","39,979",2018
