,Labels,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",Year
0,SEX AND AGE,,,,,,,,,,,2011
1,Total population,"72,401","133,289","134,511","3,880,244","202,351","107,398","989,569","382,992","211,888","200,870",2011
2,Male,"36,928","66,275","66,349","1,920,700","101,805","54,103","488,086","202,772","105,186","102,760",2011
3,Female,"35,473","67,014","68,162","1,959,544","100,546","53,295","501,483","180,220","106,702","98,110",2011
4,Under 5 years,"5,738","7,844","9,092","278,973","10,984","8,446","62,158","28,330","9,764","15,272",2011
5,5 to 9 years,"5,579","8,429","7,804","279,605","11,750","9,162","63,441","31,921","9,040","14,990",2011
6,10 to 14 years,"6,759","8,499","8,666","283,264","11,421","8,357","60,340","24,685","12,740","15,676",2011
7,15 to 19 years,"7,773","9,416","15,167","270,745","10,326","9,174","67,958","25,894","11,849","15,665",2011
8,20 to 24 years,"4,847","8,660","15,379","278,399","10,481","7,754","78,036","21,648","10,596","16,485",2011
9,25 to 34 years,"7,790","16,340","17,540","551,948","18,711","10,591","129,183","53,198","17,627","25,735",2011
10,35 to 44 years,"7,925","14,353","15,320","526,256","19,108","11,268","115,190","51,614","20,629","22,993",2011
11,45 to 54 years,"9,306","16,754","17,245","509,256","28,166","14,307","129,690","43,823","29,011","23,044",2011
12,55 to 59 years,"4,459","9,149","8,578","220,913","15,880","6,247","64,196","19,742","17,418","9,613",2011
13,60 to 64 years,"3,706","10,133","6,745","197,064","16,936","7,162","62,446","26,282","19,108","9,225",2011
14,65 to 74 years,"5,420","14,157","8,171","268,933","29,314","9,107","85,274","35,758","30,625","17,802",2011
15,75 to 84 years,"2,377","6,534","3,500","155,759","14,917","4,555","51,343","14,402","16,471","11,578",2011
16,85 years and over,722,"3,021","1,304","59,129","4,357","1,268","20,314","5,695","7,010","2,792",2011
17,Median age (years),31.8,40.1,31.2,34.9,48.2,35.1,37.9,36.1,50.1,32.9,2011
18,18 years and over,"49,600","102,764","103,929","2,872,819","160,990","76,075","765,529","283,112","173,110","145,364",2011
19,21 years and over,"44,841","97,227","90,073","2,706,537","155,849","70,179","714,168","266,873","166,849","135,268",2011
20,62 years and over,"10,559","29,450","16,246","599,995","59,293","18,632","193,796","71,197","65,988","37,566",2011
21,65 years and over,"8,519","23,712","12,975","483,821","48,588","14,930","156,931","55,855","54,106","32,172",2011
22,18 years and over,"49,600","102,764","103,929","2,872,819","160,990","76,075","765,529","283,112","173,110","145,364",2011
23,Male,"24,606","51,873","51,030","1,406,084","80,779","37,994","372,739","150,087","84,909","74,022",2011
24,Female,"24,994","50,891","52,899","1,466,735","80,211","38,081","392,790","133,025","88,201","71,342",2011
25,65 years and over,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",2011
26,Male,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,2011
27,Female,"8,519","23,712","12,975","483,821","48,588","14,930","156,931","55,855","54,106","32,172",2011
28,RACE,"3,893","11,287","6,034","215,621","24,166","6,982","70,386","27,214","25,527","15,795",2011
29,Total population,"4,626","12,425","6,941","268,200","24,422","7,948","86,545","28,641","28,579","16,377",2011
30,One race,,,,,,,,,,,2011
31,Two or more races,"72,401","133,289","134,511","3,880,244","202,351","107,398","989,569","382,992","211,888","200,870",2011
32,One race,"71,334","123,661","130,217","3,775,127","190,607","103,584","961,650","368,295","205,142","196,765",2011
33,White,"1,067","9,628","4,294","105,117","11,744","3,814","27,919","14,697","6,746","4,105",2011
34,Black or African American,"71,334","123,661","130,217","3,775,127","190,607","103,584","961,650","368,295","205,142","196,765",2011
