,Labels,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",Year
0,SEX AND AGE,,,,,,,,,,,2017
1,Total population,"71,606","124,756","140,776","4,307,033","207,200","108,956","1,022,769","430,237","228,168","207,534",2017
2,Male,"35,700","63,763","70,219","2,130,646","103,960","55,149","502,603","224,093","111,901","106,351",2017
3,Female,"35,906","60,993","70,557","2,176,387","103,240","53,807","520,166","206,144","116,267","101,183",2017
4,Sex ratio (males per 100 females),99.4,104.5,99.5,97.9,100.7,102.5,96.6,108.7,96.2,105.1,2017
5,Under 5 years,"4,619","7,516","7,632","280,625","9,306","7,700","58,838","24,640","9,202","14,772",2017
6,5 to 9 years,"5,688","9,166","5,941","277,613","8,096","6,832","59,809","29,050","10,975","13,449",2017
7,10 to 14 years,"5,908","6,036","10,460","308,592","12,152","10,014","60,490","28,616","10,455","15,703",2017
8,15 to 19 years,"6,317","6,875","17,887","290,312","11,641","8,054","70,563","27,331","11,755","15,186",2017
9,20 to 24 years,"4,502","8,352","15,424","285,415","7,225","6,311","88,636","23,029","9,852","17,152",2017
10,25 to 34 years,"8,975","15,800","19,077","623,248","20,950","11,803","128,248","56,470","21,016","28,471",2017
11,35 to 44 years,"7,860","13,156","15,580","560,348","18,501","11,791","116,606","56,805","20,243","22,505",2017
12,45 to 54 years,"8,059","13,711","14,907","548,032","24,598","13,035","114,177","48,034","24,557","22,119",2017
13,55 to 59 years,"4,515","7,345","9,171","261,413","17,066","7,321","65,540","23,527","17,131","9,788",2017
14,60 to 64 years,"4,410","9,983","8,025","232,799","16,115","7,687","63,339","26,669","22,704","10,639",2017
15,65 to 74 years,"6,752","15,286","10,757","373,877","35,308","11,213","112,598","52,794","41,775","19,166",2017
16,75 to 84 years,"3,201","8,803","4,594","190,504","21,060","5,273","60,217","27,555","20,636","14,712",2017
17,85 years and over,800,"2,727","1,321","74,255","5,182","1,922","23,708","5,717","7,867","3,872",2017
18,Median age (years),34.8,41.6,31.6,36.4,51.4,38.1,38.5,39.6,53.6,34.7,2017
19,Under 18 years,"19,779","27,074","29,569","1,045,263","36,199","29,445","217,019","99,004","37,443","52,497",2017
20,16 years and over,"54,206","100,356","115,132","3,383,598","174,978","82,430","831,330","342,011","195,144","160,609",2017
21,18 years and over,"51,827","97,682","111,207","3,261,770","171,001","79,511","805,750","331,233","190,725","155,037",2017
22,21 years and over,"48,024","93,485","94,409","3,090,983","164,643","75,044","751,704","316,113","183,587","145,301",2017
23,62 years and over,"13,477","33,033","22,130","774,749","72,398","22,756","234,639","102,606","84,102","43,972",2017
24,65 years and over,"10,753","26,816","16,672","638,636","61,550","18,408","196,523","86,066","70,278","37,750",2017
25,18 years and over,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",2017
26,Male,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,2017
27,Female,"51,827","97,682","111,207","3,261,770","171,001","79,511","805,750","331,233","190,725","155,037",2017
28,Sex ratio (males per 100 females),"25,463","49,989","54,437","1,597,147","85,663","39,660","392,765","173,908","92,435","79,803",2017
29,65 years and over,"26,364","47,693","56,770","1,664,623","85,338","39,851","412,985","157,325","98,290","75,234",2017
30,Male,96.6,104.8,95.9,95.9,100.4,99.5,95.1,110.5,94.0,106.1,2017
31,Female,"10,753","26,816","16,672","638,636","61,550","18,408","196,523","86,066","70,278","37,750",2017
32,Sex ratio (males per 100 females),"4,901","13,164","7,729","287,849","30,483","8,676","89,207","41,671","33,337","18,239",2017
33,RACE,"5,852","13,652","8,943","350,787","31,067","9,732","107,316","44,395","36,941","19,511",2017
34,Total population,83.7,96.4,86.4,82.1,98.1,89.1,83.1,93.9,90.2,93.5,2017
35,One race,,,,,,,,,,,2017
36,Two or more races,"71,606","124,756","140,776","4,307,033","207,200","108,956","1,022,769","430,237","228,168","207,534",2017
37,One race,N,"120,621","135,690","4,146,746","202,132","106,276","970,874","409,404","222,180","201,727",2017
38,White,N,"4,135","5,086","160,287","5,068","2,680","51,895","20,833","5,988","5,807",2017
39,Black or African American,N,"120,621","135,690","4,146,746","202,132","106,276","970,874","409,404","222,180","201,727",2017
40,American Indian and Alaska Native,N,"107,676","92,468","3,342,292","186,157","51,477","779,589","351,332","211,172","168,078",2017
41,Cherokee tribal grouping,N,"5,042","1,731","235,421","2,473","1,291","35,898","17,748","1,314","4,767",2017
42,Chippewa tribal grouping,N,"1,981","36,364","87,049","4,806","46,635","42,875","19,642","2,698","3,939",2017
43,Navajo tribal grouping,0,0,0,0,0,0,0,0,0,0,2017
44,Sioux tribal grouping,0,0,0,0,0,0,0,0,0,0,2017
45,Asian,0,0,0,0,0,0,0,0,0,0,2017
46,Asian Indian,0,0,0,0,0,0,0,0,0,0,2017
47,Chinese,N,"2,258","3,259","179,761","2,525",638,"29,936","7,007","2,814","2,718",2017
48,Filipino,N,0,N,"55,992",N,N,"4,359","1,281",162,216,2017
49,Japanese,N,507,N,"31,419",N,N,"7,342",875,472,60,2017
50,Korean,N,730,N,"33,876",N,N,"5,312","2,141",573,566,2017
51,Vietnamese,N,23,N,"5,172",N,N,"1,647",977,462,188,2017
52,Other Asian,N,644,N,"8,290",N,N,"3,009",640,625,329,2017
53,Native Hawaiian and Other Pacific Islander,N,204,N,"24,284",N,N,"4,836",639,219,0,2017
54,Native Hawaiian,N,150,N,"20,728",N,N,"3,431",454,301,"1,359",2017
55,Guamanian or Chamorro,N,473,633,"10,317",141,"1,811","1,639","1,160",0,125,2017
56,Samoan,N,N,N,"2,680",N,N,N,N,N,N,2017
57,Other Pacific Islander,N,N,N,"1,998",N,N,N,N,N,N,2017
58,Some other race,N,N,N,686,N,N,N,N,N,N,2017
59,Two or more races,N,N,N,"4,953",N,N,N,N,N,N,2017
60,White and Black or African American,N,"3,191","1,235","291,906","6,030","4,424","80,937","12,515","4,182","22,100",2017
61,White and American Indian and Alaska Native,N,"4,135","5,086","160,287","5,068","2,680","51,895","20,833","5,988","5,807",2017
62,White and Asian,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",2017
63,Black or African American and American Indian and Alaska Native,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,2017
64,Race alone or in combination with one or more other races,N,874,544,"30,684",745,245,"9,168","2,550",689,688,2017
65,Total population,N,0,127,"3,972",0,96,"1,523",515,161,402,2017
66,White,,,,,,,,,,,2017
67,Black or African American,"71,606","124,756","140,776","4,307,033","207,200","108,956","1,022,769","430,237","228,168","207,534",2017
68,American Indian and Alaska Native,"16,396","110,806","96,852","3,478,210","191,190","53,940","820,476","369,741","216,707","172,344",2017
69,Asian,N,"6,726","2,849","299,354","3,010","1,775","49,008","25,784","2,676","6,347",2017
70,Native Hawaiian and Other Pacific Islander,"54,444","2,360","39,387","126,498","7,777","48,493","64,878","28,003","6,738","5,386",2017
71,Some other race,N,"3,707","4,222","227,729","3,409",990,"42,444","10,591","3,712","4,299",2017
72,HISPANIC OR LATINO AND RACE,N,"1,517","1,273","23,132",N,"1,841","4,038","2,918",N,"1,341",2017
73,Total population,670,"4,723","2,060","326,973","6,817","4,822","96,972","16,308","4,344","24,394",2017
74,Hispanic or Latino (of any race),,,,,,,,,,,2017
75,Mexican,"71,606","124,756","140,776","4,307,033","207,200","108,956","1,022,769","430,237","228,168","207,534",2017
76,Puerto Rican,"4,480","44,397","19,903","1,339,574","34,063","12,283","381,290","129,482","33,172","132,705",2017
77,Cuban,N,"39,442",N,"1,180,983","29,618",N,"340,461","116,280","28,159","130,050",2017
78,Other Hispanic or Latino,N,"1,873",N,"30,066",144,N,"8,098","2,714",543,647,2017
79,Not Hispanic or Latino,N,284,N,"9,995",390,N,"3,376",254,52,0,2017
80,White alone,N,"2,798",N,"118,530","3,911",N,"29,355","10,234","4,418","2,008",2017
81,Black or African American alone,"67,126","80,359","120,873","2,967,459","173,137","96,673","641,479","300,755","194,996","74,829",2017
82,American Indian and Alaska Native alone,N,"68,628","76,159","2,377,103","160,138","45,204","529,053","244,073","183,748","63,868",2017
83,Asian alone,N,"4,671","1,657","223,530","2,392","1,241","33,277","16,779","1,314","3,660",2017
84,Native Hawaiian and Other Pacific Islander alone,N,"1,692","35,425","69,639","4,028","45,534","27,124","16,400","2,322","2,353",2017
85,Some other race alone,N,"2,258","3,259","175,696","2,468",638,"28,150","6,669","2,666","2,593",2017
86,Two or more races,N,473,633,"9,337",72,"1,811","1,428","1,020",0,76,2017
87,Two races including Some other race,N,278,0,"10,861",200,75,736,162,0,0,2017
88,"Two races excluding Some other race, and Three or more races",N,"2,359","3,740","101,293","3,839","2,170","21,711","15,652","4,946","2,279",2017
89,Total housing units,N,265,37,"4,821",57,125,730,843,108,0,2017
90,"CITIZEN, VOTING AGE POPULATION",N,"2,094","3,703","96,472","3,782","2,045","20,981","14,809","4,838","2,279",2017
